TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT,KNN_SCORE
1,15,1292,29,47,0,C,2,29,H,M,5,0,B,0,,692,203,74,14602,0,44,5,67,1,0,A,2,0.188,9.0,0.25,10.0,3,2,18,15,40,38,5,7.6,10,15,5,7,6,15,18,57,7.6,2,0
1,2,1293,101,75,0,S,2,18,H,F,2,0,B,10,,917,462,94,14229,0,22,24,35,1,0,A,4,0.238,4.8,0.3,4.33,5,3,20,27,71,74,14,5.29,7,10,3,5,6,13,20,92,5.29,8,0
0,,1298,89,80,0,T,2,38,H,M,4,0,P,0,8,2459,309,47,17969,0,27,15,67,1,0,A,4,0.35,19.71,0.455,18.6,7,5,21,38,99,311,22,14.14,25,30,5,20,11,30,18,89,14.14,9,0
0,,1304,137,85,0,R,3,53,U,F,1,0,P,0,0,1259,263,43,9748,0,11,26,42,1,3,A,1,0.333,9.43,0.4,9.0,7,4,19,46,111,193,26,7.42,9,11,2,10,10,22,19,126,7.42,17,0
1,14,1322,77,54,0,U,2,5,U,F,3,0,B,2,7,376,397,72,15260,0,25,45,35,1,0,A,2,0.19,13.5,0.2,13.0,4,2,24,36,94,174,14,12.43,5,15,10,14,11,25,7,73,12.43,5,0
0,,1325,53,59,0,S,2,20,H,M,3,0,P,0,6,1027,331,53,13701,0,29,18,40,0,0,A,1,0.182,26.25,0.091,25.0,4,1,18,33,80,210,9,23.33,25,30,5,25,9,23,5,55,23.33,2,0
0,,1329,29,65,0,?,?, .,U,M,6,0,P,0,,745,259,59,9966,0,0,0,0,0,0,N,3,0.231,13.33,0.143,10.0,3,1,17,13,36,45,4,11.25,11,16,5,14,6,17,17,55,11.25,1,0
0,,1350,65,,0,T,1,35,H,M,5,1,B,7,9,901,441,89,17670,2,48,55,23,1,19,A,1,0.053,25.0,0.0,0.0,1,0,18,27,66,112,8,14.0,30,33,3,25,6,15,18,65,14.0,2,0
1,15,1357,137,40,0,S,2,17,H,F,5,0,B,0,5,889,328,36,13456,1,25,48,7,1,1,S,3,0.455,13.9,0.545,14.5,10,6,15,41,102,224,21,10.67,22,27,5,18,11,29,15,126,10.67,9,0
0,,1368,65,71,0,R,2,43,U,F,2,0,P,0,1,1721,618,95,21855,1,27,35,26,1,1,S,3,0.4,13.5,0.273,14.0,8,3,18,33,83,259,23,11.26,15,20,5,10,8,23,9,56,11.26,9,0
0,,1396,113,49,0,S,2,17,H,M,1,0,P,0,,730,247,70,15385,19,38,31,18,1,1,S,4,0.263,17.4,0.3,15.67,5,3,17,34,92,352,24,14.67,15,20,5,12,6,16,17,112,14.67,12,0
0,,1397,65,51,0,S,1,12,H,M,4,1,B,5,9,1024,475,81,18143,0,23,32,27,0,0,A,3,0.211,11.75,0.3,11.67,4,3,17,32,81,104,10,10.4,10,15,5,15,11,24,17,57,10.4,6,0
0,,1400,137,,0,S,1,11,H,M,7,1,B,18,6,1805,759,79,31663,1,33,54,21,1,1,S,3,0.421,8.38,0.545,7.0,8,6,24,36,88,157,29,5.41,15,17,2,9,6,17,24,131,5.41,18,0
0,,1414,77,69,0,T,2,39,H,M,5,1,P,0,5,465,314,63,11769,0,23,29,9,1,0,A,1,0.167,22.5,0.0,0.0,2,0,9,21,67,119,7,17.0,15,25,10,25,5,21,9,76,17.0,4,0
0,,1419,101,72,0,R,3,51,H,M,2,0,B,0,4,466,266,86,11133,0,25,27,23,0,0,A,1,0.095,17.5,0.0,0.0,2,0,26,27,68,105,8,13.13,15,20,5,20,5,13,26,92,13.13,3,0
0,,1431,53,76,0,R,2,49,H,M,2,0,P,0,2,412,297,80,12061,0,33,32,19,1,0,A,4,0.381,10.38,0.3,11.67,8,3,15,27,69,135,17,7.94,16,19,3,19,9,23,15,52,7.94,5,0
0,,1434,65,33,0,S,2,20,U,F,2,1,P,0,7,928,387,86,18255,0,23,33,16,1,0,A,1,0.318,14.29,0.455,14.0,7,5,25,33,83,282,19,14.84,10,20,10,15,11,23,25,57,14.84,10,0
1,24,1442,29,38,0,C,1,24,H,F,5,1,B,4,,1602,459,70,18855,2,25,40,27,1,0,A,2,0.421,20.13,0.6,20.17,8,6,17,26,78,350,19,18.42,15,25,10,25,11,32,6,53,18.42,10,0
0,,1477,65,,0,?,?, .,U,M,5,0,P,0,5,1287,418,75,18427,0,0,0,0,0,0,A,3,0.158,14.33,0.111,14.0,3,1,17,24,66,106,8,13.25,6,16,10,14,6,18,17,55,13.25,2,0
0,,1480,65,,0,U,3,9,U,F,1,0,B,23,3,1507,421,84,12044,0,22,34,48,1,0,A,1,0.211,33.75,0.1,35.0,4,1,15,28,69,330,10,33.0,5,35,30,35,9,20,7,57,33.0,3,0
0,,1485,65,47,0,C,1,24,H,F,3,0,P,0,7,1930,466,80,16892,2,41,34,4,0,0,A,1,0.091,19.5,0.182,19.5,2,2,17,25,64,78,7,11.21,18,23,5,23,6,14,17,56,11.21,3,0
0,,1493,137,49,0,S,1,11,H,M,6,0,B,9,6,1904,568,78,23814,0,33,39,18,1,11,A,1,0.263,9.0,0.375,9.0,5,3,15,40,108,170,23,7.39,8,11,3,9,8,20,15,127,7.39,16,0
0,,1495,125,49,0,S,1,13,H,F,5,1,B,51,9,5856,976,85,33638,0,28,38,37,1,0,A,1,0.091,92.5,0.091,100.0,2,1,18,37,94,595,10,59.5,75,100,25,100,6,17,18,123,59.5,6,0
0,,1502,65,51,0,S,1,14,H,F,7,0,P,0,9,1765,542,94,19984,0,30,34,28,0,0,A,1,0.091,15.0,0.0,0.0,1,0,18,16,45,47,4,11.75,5,15,10,15,4,12,18,57,11.75,2,0
1,10,1544,53,45,0,S,1,11,H,F,7,1,P,0,7,3260,509,79,19165,11,26,42,17,0,0,A,1,0.063,20.0,0.0,0.0,1,0,18,17,45,52,4,13.0,10,20,10,20,6,14,18,52,13.0,2,0
0,,1548,53,68,0,T,1,35,H,M,7,0,M,1,9,1679,776,93,26873,0,21,34,0,0,0,A,1,0.067,25.0,0.0,0.0,1,0,26,11,33,75,3,25.0,0,25,25,25,4,11,26,49,25.0,0,0
1,25,1556,41,49,0,C,2,25,U,F,1,0,P,0,3,2167,346,92,27423,0,17,55,18,0,0,E,1,0.067,15.0,0.0,0.0,1,0,15,12,39,49,4,12.25,5,15,10,15,2,10,15,49,12.25,1,0
0,,1611,137,78,0,C,3,31,H,M,1,1,B,33,4,409,114,40,8565,1,36,21,43,1,5,A,1,0.227,13.2,0.364,15.0,5,4,18,44,108,227,26,8.73,18,20,2,5,9,22,4,128,8.73,17,0
1,15,1617,29,75,0,S,1,13,H,F,4,0,B,30,,5970,1386,94,62822,0,38,16,69,1,0,A,3,0.316,11.67,0.5,12.0,6,5,11,24,63,112,11,10.18,15,20,5,11,11,28,6,45,10.18,7,0
0,,1628,17,55,0,?,?, .,U,F,1,0,B,28,,701,241,48,11437,0,0,0,0,0,0,E,1,0.1,15.0,0.167,15.0,1,1,15,9,25,20,2,10.0,10,15,5,15,2,8,15,44,10.0,2,0
0,,1631,29,45,0,U,2,7,U,F,3,0,P,0,,720,188,28,10789,0,20,35,47,1,0,A,3,0.55,18.55,0.636,19.14,11,7,15,26,70,306,20,15.3,20,25,5,20,11,28,5,44,15.3,11,0
1,10,1646,101,50,0,C,3,30,H,M,5,0,B,29,0,675,163,28,7083,0,37,76,11,1,10,A,1,0.167,8.33,0.125,10.0,3,1,17,34,85,121,16,7.56,12,15,3,10,5,14,17,103,7.56,8,0
0,,1656,137,,0,R,2,45,U,F,2,0,M,14,4,473,265,77,11454,0,16,37,32,1,1,S,4,0.5,6.5,0.545,5.83,10,6,18,45,104,162,24,6.75,11,12,1,5,11,25,18,123,6.75,14,0
1,40,1673,137,67,0,T,1,35,H,F,5,0,B,4,8,1033,427,85,12145,0,19,23,32,1,5,A,1,0.25,12.8,0.364,13.25,5,4,21,46,107,310,32,9.69,15,17,2,14,11,22,21,127,9.69,20,0
0,,1709,29,78,0,C,3,31,H,M,1,1,B,13,,532,163,27,13155,0,46,34,43,0,0,A,3,0.313,17.0,0.429,18.33,5,3,17,18,51,105,6,17.5,20,30,10,30,8,22,17,33,17.5,3,0
1,10,1722,125,45,0,C,1,24,H,M,7,1,B,5,8,1668,648,83,20187,0,16,82,0,1,0,A,1,0.333,14.29,0.4,12.5,7,4,11,37,103,348,26,13.38,15,20,5,20,10,24,5,120,13.38,13,0
1,12,1731,29,79,0,S,1,13,H,M,5,1,B,23,,1982,786,90,48843,0,48,11,67,1,0,A,2,0.533,11.38,0.429,13.0,8,3,14,21,55,130,11,11.82,9,15,6,12,11,29,6,33,11.82,4,0
0,,1742,29,76,0,T,2,36,H,F,2,1,B,13,,521,304,80,13437,0,37,27,32,0,0,A,1,0.214,11.67,0.333,10.0,3,2,19,15,38,35,3,11.67,5,15,10,15,5,15,19,33,11.67,2,0
0,,1748,29,74,0,C,2,27,H,M,2,1,B,1,,406,260,72,13017,3,36,37,27,0,0,A,1,0.111,26.0,0.125,25.0,2,1,19,18,48,67,3,22.33,12,27,15,27,7,18,19,33,22.33,2,0
0,,1765,137,,0,C,2,26,H,M,2,1,B,33,,2262,227,59,14996,0,26,30,35,1,1,S,3,0.353,5.0,0.5,4.5,6,4,22,25,60,84,18,4.67,7,10,3,10,4,10,18,130,4.67,11,0
0,,1789,65,79,0,C,3,33,U,M,1,1,B,2,8,613,157,51,15708,0,49,36,18,1,1,S,3,0.5,10.0,0.545,10.0,10,6,17,26,64,225,25,9.0,5,10,5,10,5,11,17,65,9.0,11,0
0,,1794,89,,0,?,?, .,U,U,1,1,P,0,4,950,244,67,9872,2,25,34,31,1,0,A,2,0.238,11.0,0.4,11.25,5,4,17,41,104,214,19,11.26,15,20,5,15,11,25,17,89,11.26,9,0
1,10,1799,77,,0,C,2,27,H,M,5,1,B,7,9,860,358,83,14984,0,35,22,13,1,0,A,4,0.381,7.25,0.6,7.67,8,6,16,32,88,194,21,9.24,13,16,3,9,11,25,4,75,9.24,12,0
0,,1808,29,43,0,S,1,12,U,F,5,0,P,0,,1072,517,91,22262,1,35,50,26,0,0,N,1,0.214,16.67,0.167,20.0,3,1,23,15,39,50,3,16.67,10,20,10,20,6,15,23,32,16.67,1,0
0,,1818,65,57,0,T,2,36,U,F,5,0,P,0,5,757,247,74,9829,0,42,29,38,1,13,A,1,0.095,18.0,0.1,20.0,2,1,28,28,73,118,11,10.73,15,20,5,15,8,22,18,57,10.73,6,0
0,,1819,89,55,0,T,1,34,H,M,7,0,B,17,9,820,489,87,20659,5,21,46,17,1,4,A,1,0.381,8.88,0.5,8.4,8,5,19,33,85,196,26,7.54,9,12,3,10,8,20,18,88,7.54,13,0
0,,1863,101,43,0,T,2,38,H,U,6,1,B,2,6,713,343,16,17048,0,18,42,7,1,1,S,3,0.353,10.0,0.333,10.0,6,3,16,25,61,96,13,7.38,12,15,3,12,6,15,16,101,7.38,7,0
0,,1889,29,57,0,T,2,40,H,F,5,0,P,0,,1162,363,82,13579,0,40,40,42,1,0,A,4,0.4,10.67,0.857,10.67,6,6,17,21,56,113,13,8.69,12,16,4,10,11,28,6,32,8.69,8,0
1,12.5,1899,89,49,0,S,2,18,H,M,5,0,P,0,,1519,346,45,14162,1,24,45,19,1,0,A,2,0.235,10.75,0.429,12.67,4,3,15,25,67,92,9,10.22,11,16,5,12,5,14,15,85,10.22,6,0
0,,1902,41,60,0,C,2,28,H,F,5,1,B,1,4,629,262,60,12706,0,43,39,43,1,0,A,1,0.286,14.33,0.4,13.75,6,4,15,25,63,112,8,14.0,15,20,5,20,11,24,15,44,14.0,5,0
0,,1909,125,76,0,R,2,47,U,M,1,1,M,20,0,557,186,76,10179,0,30,19,48,1,1,S,4,0.5,3.18,0.364,3.5,11,4,-10,34,88,97,32,3.03,3,5,2,3,8,18,16,122,3.03,14,0
0,,1913,29,73,0,U,3,8,U,M,2,0,B,18,,595,305,58,11830,0,30,31,55,1,0,A,3,0.25,17.5,0.375,16.67,4,3,17,19,45,110,7,15.71,10,20,10,20,8,20,7,32,15.71,3,0
1,10,1920,137,81,0,U,3,9,H,M,4,1,B,1,1,1032,305,39,18324,0,33,35,26,1,0,A,2,0.368,9.0,0.4,8.25,7,4,17,35,98,215,31,6.92,12,15,3,10,9,25,6,123,6.92,12,0
1,35,1925,29,72,0,T,1,35,H,M,5,1,M,2,,3461,404,78,17618,0,41,32,32,0,0,A,1,0.2,18.33,0.286,20.0,3,2,23,17,44,55,3,18.33,10,25,15,25,7,17,23,33,18.33,2,0
1,15,1927,89,39,0,T,1,35,U,F,3,1,M,1,3,1133,615,90,22163,0,34,42,20,0,0,A,1,0.105,15.0,0.125,15.0,2,1,19,25,73,80,6,13.33,5,15,10,15,6,16,19,87,13.33,5,0
0,,1928,65,81,0,T,2,38,H,F,2,1,B,6,,1104,370,49,18621,2,36,32,22,1,0,A,3,0.444,4.88,0.636,5.14,8,7,22,21,47,68,15,4.53,8,9,1,5,6,12,22,57,4.53,10,0
1,50,1959,17,39,0,S,1,15,H,F,7,0,B,12,,2670,394,35,24896,1,16,39,18,0,0,F,1,0.25,35.0,0.4,37.5,3,2,15,14,41,105,3,35.0,25,50,25,30,9,24,15,29,35.0,2,0
0,,1962,29,37,0,T,1,34,H,F,7,1,B,2,,2354,355,52,38707,1,35,32,33,1,0,A,2,0.222,11.75,0.375,11.67,4,3,21,18,47,47,4,11.75,5,15,10,15,8,19,21,33,11.75,3,0
0,,1970,113,,0,T,2,40,U,F,6,0,B,0,,680,408,90,14304,0,27,32,21,1,0,A,2,0.273,6.17,0.364,6.75,6,4,17,31,74,80,16,5.0,8,10,2,10,6,15,17,102,5.0,11,0
0,,1973,77,52,0,U,2,7,H,F,5,1,B,1,6,3002,265,55,12323,0,17,0,58,1,0,A,4,0.3,6.33,0.2,5.5,6,2,19,28,79,132,13,10.15,20,25,5,11,7,24,10,68,10.15,5,0
0,,1975,17,61,0,R,2,46,H,M,4,1,B,2,,694,244,82,11060,1,38,29,43,0,0,N,3,0.308,12.0,0.333,13.0,4,2,15,13,42,48,4,12.0,6,16,10,12,8,23,15,29,12.0,2,0
0,,1979,17,63,0,C,2,29,H,M,3,0,P,0,,694,244,62,17285,0,69,4,89,0,0,N,3,0.2,8.33,0.25,7.5,3,2,16,15,38,36,5,7.2,5,10,5,6,5,13,15,45,7.2,3,0
0,,1985,125,51,0,T,1,35,H,M,5,1,B,3,7,1407,509,88,21052,0,31,41,14,1,11,A,1,0.105,10.5,0.222,10.5,2,2,24,35,95,341,34,10.03,11,15,4,11,7,16,24,125,10.03,21,0
0,,2018,89,80,0,U,1,1,H,F,7,0,B,5,9,5315,483,39,42350,0,18,19,42,1,0,A,2,0.238,8.6,0.2,10.5,5,2,16,33,83,118,16,7.38,9,12,3,7,11,23,16,86,7.38,7,0
1,7,2020,137,73,0,S,1,14,U,F,6,0,P,0,9,3556,735,94,34382,1,37,25,28,1,1,S,3,0.45,8.67,0.2,9.0,9,2,11,42,106,294,40,7.35,9,12,3,8,11,25,11,129,7.35,18,0
0,,2027,77,73,0,S,2,18,H,M,4,1,M,18,8,599,342,62,13232,0,32,41,9,1,1,S,1,0.364,36.25,0.182,32.5,8,2,16,34,90,492,16,30.75,35,50,15,40,11,28,16,75,30.75,4,0
0,,2058,29,,0,R,2,43,H,M,6,0,B,0,,605,218,67,11046,3,32,51,13,1,0,E,4,0.333,12.0,0.5,11.67,5,3,19,13,42,75,6,12.5,5,15,10,15,4,15,16,33,12.5,3,0
0,,2063,29,57,0,C,3,31,U,F,1,1,M,12,,543,222,48,10880,0,43,22,48,0,0,A,3,0.4,14.0,0.286,11.0,6,2,17,20,52,94,7,13.43,10,20,10,20,11,25,17,29,13.43,3,0
1,7,2081,113,,0,?,?, .,U,F,3,1,M,2,,871,381,77,16559,0,0,0,0,1,4,A,1,0.579,7.82,0.7,7.0,11,7,12,36,88,384,49,7.84,9,12,3,8,9,25,4,106,7.84,23,0
1,20,2085,65,52,0,C,2,27,H,M,4,1,B,5,8,852,426,87,14762,0,41,54,10,1,0,A,2,0.273,19.67,0.364,20.75,6,4,12,31,85,251,13,19.31,18,28,10,20,11,27,7,64,19.31,8,0
0,,2087,41,,0,T,2,39,U,M,5,0,P,0,,649,290,62,13872,34,29,36,26,1,0,A,4,0.5,6.44,0.444,5.5,9,4,15,23,62,94,15,6.27,6,9,3,5,11,26,15,40,6.27,5,0
0,,2113,65,57,0,S,1,14,U,F,7,1,P,0,3,828,318,61,14887,3,37,52,18,1,1,S,2,0.3,9.67,0.364,9.5,6,4,25,25,60,156,20,7.8,7,10,3,10,6,14,25,57,7.8,10,0
1,25,2151,113,47,0,C,3,31,H,M,5,0,P,0,,1126,243,27,8614,0,0,0,0,1,1,S,3,0.286,24.17,0.364,24.0,6,4,18,36,98,832,40,20.8,30,35,5,25,11,25,18,110,20.8,19,0
1,8,2153,137,73,0,S,2,18,H,M,2,0,B,0,7,839,363,73,15463,0,22,34,20,1,1,S,2,0.3,8.83,0.5,9.2,6,5,11,39,93,234,31,7.55,11,14,3,9,10,26,8,126,7.55,19,0
1,15,2154,137,77,0,R,2,46,H,M,2,1,B,1,2,655,258,89,13780,0,43,12,53,1,4,A,1,0.294,16.6,0.556,16.6,5,5,17,33,77,291,15,19.4,30,40,10,12,11,25,17,112,19.4,13,0
1,9,2159,113,78,1,R,2,49,H,F,3,1,B,0,1,198,193,76,8898,0,22,27,36,1,13,A,1,0.158,12.33,0.2,10.0,3,2,19,34,81,139,15,9.27,14,17,3,10,11,27,5,105,9.27,11,0
0,,2162,101,,0,T,2,36,U,U,2,1,M,2,6,463,253,64,12483,0,36,23,37,1,6,A,1,0.25,10.5,0.286,10.0,4,2,19,28,78,126,13,9.69,10,15,5,7,9,19,19,93,9.69,8,0
0,,2166,137,43,0,R,2,47,H,F,4,0,P,0,,475,241,78,12442,0,27,23,28,1,1,S,4,0.389,10.14,0.333,10.33,7,3,18,32,69,133,17,7.82,8,11,3,11,10,21,18,124,7.82,10,0
0,,2168,41,45,0,S,1,12,U,F,3,1,B,2,8,1566,538,85,20755,0,23,50,26,1,0,A,3,0.318,10.57,0.364,10.25,7,4,18,23,55,101,11,9.18,7,12,5,12,11,24,18,45,9.18,6,0
1,7,2170,101,67,0,T,2,38,H,F,3,0,P,0,5,923,299,85,15965,0,29,30,39,1,1,S,2,0.333,8.57,0.636,8.57,7,7,11,35,90,213,28,7.61,9,12,3,8,11,29,11,97,7.61,19,0
1,4,2194,65,37,0,?,?, .,H,M,7,1,B,0,7,1006,282,54,19466,0,0,0,0,1,1,S,4,0.368,4.43,0.6,4.5,7,6,12,25,59,61,15,4.07,3,6,3,4,9,21,12,63,4.07,10,0
1,14,2231,41,24,0,T,2,36,H,M,3,1,B,38,,564,217,64,12315,0,33,30,50,1,1,S,4,0.45,12.11,0.7,11.71,9,7,11,18,45,114,10,11.4,14,17,3,15,8,21,11,38,11.4,8,0
0,,2233,77,79,0,R,2,46,H,F,2,0,P,0,,572,224,79,9363,0,46,21,38,1,0,A,4,0.316,5.5,0.444,5.25,6,4,17,21,56,68,13,5.23,4,7,3,5,8,18,7,76,5.23,8,0
1,12,2235,77,65,0,C,2,29,H,M,6,1,B,0,6,878,285,91,16534,0,53,12,71,1,1,S,1,0.286,16.67,0.455,16.0,6,5,17,29,76,178,17,10.47,23,25,3,25,11,26,6,69,10.47,9,0
0,,2238,113,67,0,R,2,44,U,M,1,1,B,1,5,970,274,88,14747,0,35,33,39,1,1,S,2,0.263,12.8,0.364,14.25,5,4,15,35,86,144,16,9.0,12,15,3,7,11,24,15,110,9.0,12,0
0,,2242,29,,0,R,1,42,H,F,4,0,P,0,,863,373,80,13693,8,37,46,19,0,0,N,2,0.182,12.5,0.4,12.5,2,2,20,15,40,55,3,18.33,20,30,10,10,11,23,20,24,18.33,3,0
0,,2244,77,53,0,S,2,17,H,F,5,1,B,10,2,843,290,48,11988,0,34,34,18,1,7,A,1,0.176,18.33,0.375,18.33,3,3,21,25,70,160,9,17.78,15,25,10,20,11,27,6,75,17.78,7,0
1,12.5,2262,137,57,0,U,1,2,H,F,5,0,B,2,6,1778,411,65,18236,0,27,28,27,1,1,S,2,0.35,7.86,0.545,7.67,7,6,12,37,96,235,36,6.53,8,11,3,3,9,23,12,126,6.53,20,0
0,,2289,89,59,0,T,2,39,H,F,3,1,B,2,3,507,260,75,12533,0,22,29,30,1,1,S,4,0.579,6.73,0.7,7.0,11,7,11,28,72,134,20,6.7,8,11,3,3,8,21,11,89,6.7,11,0
0,,2291,65,,0,T,3,41,U,M,3,0,B,0,3,447,209,72,10378,0,20,25,18,1,1,S,4,0.476,4.4,0.636,4.29,10,7,11,23,64,117,28,4.18,6,8,2,2,7,14,11,65,4.18,11,0
0,,2298,89,,0,C,3,33,H,F,2,1,B,6,4,589,256,93,15455,0,53,0,89,0,0,A,1,0.105,10.0,0.25,10.0,2,2,21,26,66,92,10,9.2,10,15,5,5,8,16,21,86,9.2,6,0
1,6,2320,89,16,0,S,2,20,H,F,1,1,B,13,7,634,336,70,14507,0,32,3,58,1,1,S,3,0.381,4.63,0.545,4.5,8,6,16,31,81,119,31,3.84,9,10,1,3,10,22,16,88,3.84,17,0
0,,2334,89,51,0,T,2,39,H,F,3,1,B,1,8,591,280,62,11294,0,39,38,17,1,0,A,4,0.318,11.0,0.455,10.4,7,5,12,32,83,198,17,11.65,11,16,5,10,11,27,9,87,11.65,9,0
0,,2339,137,37,0,C,2,27,U,U,1,0,P,0,7,976,479,65,15723,0,30,70,4,1,1,S,3,0.4,5.0,0.455,4.6,8,5,15,36,86,103,26,3.96,8,10,2,5,10,20,15,127,3.96,17,0
0,,2340,41,84,0,C,2,26,U,F,2,1,M,0,,75,224,8,18798,0,29,34,32,0,0,A,1,0.105,13.0,0.2,13.0,2,2,21,21,49,71,5,14.2,6,16,10,16,11,22,21,41,14.2,4,0
1,9,2365,53,43,0,T,1,35,U,M,5,1,M,5,9,1408,611,93,21203,0,32,28,22,1,0,A,4,0.5,5.0,0.778,5.57,9,7,12,23,60,64,14,4.57,8,10,2,4,11,26,12,53,4.57,8,0
1,10,2379,65,49,0,T,1,35,H,M,7,1,B,2,9,1596,549,92,23345,0,24,34,20,1,0,A,1,0.105,15.0,0.111,10.0,2,1,18,26,66,87,8,10.88,15,20,5,12,11,23,8,63,10.88,6,0
0,,2384,89,47,0,T,2,39,H,M,2,1,P,0,,929,327,81,12995,3,38,31,7,1,0,A,3,0.455,14.2,0.5,17.5,5,2,12,20,56,82,8,10.25,17,20,3,15,11,30,12,79,10.25,5,0
1,10,2408,113,34,0,?,?, .,H,F,7,0,M,1,,4500,230,14,16425,0,0,0,0,1,1,S,4,0.333,8.0,0.364,7.5,7,4,18,29,74,146,16,9.13,17,20,3,11,7,17,18,105,9.13,12,0
1,25,2415,17,42,0,S,1,13,H,F,6,0,B,0,,5501,817,95,41734,0,22,12,52,0,0,F,1,0.4,17.5,0.5,10.0,2,1,16,12,27,35,2,17.5,15,25,10,25,10,22,16,20,17.5,1,0
0,,2425,125,69,0,S,1,12,H,M,6,1,B,27,6,1308,441,59,15878,0,30,35,31,1,13,A,1,0.235,20.0,0.0,0.0,4,0,19,25,70,245,23,10.65,20,25,5,25,9,21,19,123,10.65,10,0
0,,2431,101,83,0,R,3,53,H,M,7,0,P,0,0,335,170,77,8650,0,34,28,37,1,0,A,2,0.19,14.75,0.2,7.5,4,2,8,29,72,165,11,15.0,19,24,5,5,10,22,8,89,15.0,8,0
0,,2444,137,82,0,R,2,46,U,M,2,0,M,21,0,744,175,68,10171,0,36,15,37,1,0,A,1,0.182,17.5,0.25,25.0,2,1,16,35,85,136,13,10.46,20,25,5,25,10,27,16,128,10.46,9,0
0,,2451,17,81,0,C,2,29,H,F,5,1,P,0,,2298,374,90,31281,0,50,0,89,1,0,F,1,0.4,17.5,1.0,17.5,2,2,17,11,28,70,3,23.33,20,35,15,35,9,22,9,20,23.33,3,0
1,7,2464,77,56,0,?,?, .,H,M,4,0,B,0,2,481,195,72,11476,0,0,0,0,1,1,S,4,0.579,8.18,0.545,8.0,11,6,13,29,75,266,34,7.82,6,11,5,8,11,25,6,77,7.82,14,0
0,,2466,77,78,0,U,1,3,U,M,2,0,M,2,,3240,406,46,21725,0,25,8,33,1,0,A,1,0.421,7.5,0.333,6.67,8,3,12,26,65,96,14,6.86,12,15,3,8,11,28,5,67,6.86,6,0
1,3,2490,137,68,0,T,2,39,U,M,1,0,P,0,,620,323,75,11492,1,30,55,10,1,1,S,4,0.524,4.18,0.545,4.33,11,6,17,31,74,104,31,3.36,5,5,0,3,7,16,7,128,3.36,14,0
0,,2492,77,73,0,S,1,12,H,F,7,0,B,0,,2216,574,88,18866,8,43,66,15,1,0,N,2,0.3,12.0,0.4,13.5,6,4,20,30,78,119,13,9.15,13,18,5,10,12,27,6,76,9.15,6,0
1,5,2499,137,,1,T,2,38,H,F,5,1,M,3,3,818,302,55,15112,0,26,53,20,1,0,A,3,0.25,6.8,0.0,0.0,5,0,18,32,72,79,14,5.64,5,10,5,5,11,24,4,126,5.64,4,0
0,,2501,17,63,0,C,2,25,H,F,5,0,P,0,,508,239,30,14236,2,28,29,42,0,0,F,1,0.6,13.67,1.0,12.5,3,2,15,10,26,41,3,13.67,6,16,10,16,9,23,15,20,13.67,2,0
0,,2503,17,79,0,C,1,24,H,M,3,1,B,4,,2811,524,88,23861,1,44,13,39,1,0,N,1,0.6,13.33,0.5,15.0,3,1,13,8,23,55,4,13.75,5,15,10,15,7,19,9,20,13.75,3,0
0,,2510,17,68,0,U,2,7,H,M,6,1,B,20,,959,292,35,11096,0,11,12,27,0,0,F,1,0.6,16.67,0.5,18.0,3,1,13,10,27,50,3,16.67,3,18,15,17,8,22,13,20,16.67,2,0
1,25,2512,17,71,0,?,?, .,H,M,5,0,P,0,,1250,319,41,25660,0,0,0,0,0,0,F,1,0.4,25.0,0.5,25.0,2,1,16,11,28,50,2,25.0,0,25,25,25,10,24,16,20,25.0,1,0
1,10,2519,29,,0,S,2,18,H,M,4,0,P,0,,720,328,63,12646,4,30,49,9,0,0,A,4,0.389,9.29,0.556,11.0,7,5,11,18,48,85,9,9.44,10,15,5,10,11,26,6,33,9.44,5,0
0,,2525,17,41,0,S,1,14,H,F,7,1,B,1,,1601,633,96,21881,0,23,61,20,1,0,F,1,0.8,10.5,0.5,9.0,4,1,12,10,29,49,5,9.8,17,20,3,7,9,25,8,20,9.8,1,0
